# Number of Traces
24
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
0;0;3;4.0708278513028845e-01;7.9290720137679016e-01;1.9054542365205807e-01;5.8999373703027558e-01;4.4144071538923302e-01;4.4396472304581652e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
1;0;4;3.2254187386143851e-01;8.0613990916857226e-01;3.0215171453688000e-01;4.7935223692995654e-01;7.1935781179987657e-01;1.9054542365205809e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
2;0;5;4.2509941631366960e-01;5.1061528912628240e-01;5.9517393895398174e-01;4.2720007341802824e-01;5.0725896124094949e-01;5.9704177318758533e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
3;0;6;1.6036270461720406e-01;9.4551882387821717e-01;3.4150614581109751e-01;4.2436810703245792e-01;5.4440696714881887e-01;5.4451429376263849e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
4;0;7;3.2951089390531951e-01;6.0667827801321639e-01;5.9704177318758522e-01;4.4995360538545259e-01;7.0894723121709746e-01;2.5236863514713970e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
5;0;8;4.2284129691097033e-01;7.7686959636876285e-01;1.9054542365205804e-01;5.5413802687120994e-01;3.9249192399563881e-01;5.7493823442780545e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
6;1;3;9.3219301223687967e-01;4.3397286100839821e-01;3.9361989787461210e-01;1.0881373072504228e+00;4.4643030077661361e-01;3.5788140881654357e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
7;1;4;5.5471520740420788e-01;3.4775302217929899e-01;1.5270184883183247e-01;8.5173955844049154e-01;3.4560801166812388e-01;-6.6465853981275247e-02
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
8;2;3;1.9507930182150376e-01;5.2207571114633311e-01;4.4396472304581647e-01;2.0417828776973188e-01;6.9474304159586131e-01;3.0316445711141904e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
9;2;6;1.6201266918903162e-01;3.4403894091689424e-01;4.3341741262078570e-01;3.1586681094161589e-01;1.2629596008899402e+00;3.7728990053789524e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
10;2;7;1.4992041146307883e-01;3.2337674015595691e-01;3.7791908301603683e-01;2.8390199813548167e-01;6.0447332336244586e-01;9.3223134394306217e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
11;2;9;1.7967345488367056e-01;3.1811881367255035e-01;5.7965360009830980e-01;2.4842593893069381e-01;6.1136117376789700e-01;6.9097435508069738e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
12;3;4;3.3136923116714656e-01;6.7002807259422148e-01;3.0215171453688022e-01;6.9639825269435773e-01;9.4588367753926827e-01;1.9471648379405574e-02
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
13;3;6;1.0670416926497697e-01;6.4697132079332220e-01;3.5776151899437564e-01;2.2958430450109277e-01;5.1503036031433203e-01;4.4396472304581658e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
14;3;7;2.7533021843380101e-01;5.0568980132990637e-01;4.4396472304581663e-01;4.4904254769630675e-01;7.0770840838475180e-01;2.5236863514713970e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
15;3;8;3.7256732320525116e-01;9.4350949248998583e-01;7.4730885127456209e-02;5.2384452670666171e-01;4.5494729002472406e-01;4.4396472304581652e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
16;4;7;3.3813027232799081e-01;5.6577742342629334e-01;3.0215171453687995e-01;4.0063103571889225e-01;6.4188020990674721e-01;2.5236863514713970e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
17;4;8;3.8093142506468175e-01;1.0120548524122019e+00;2.4918867219314256e-01;5.0882296823656470e-01;3.6599889383799422e-01;1.8570703560270044e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
18;5;8;5.1998413976992020e-01;5.7290959023900023e-01;6.0460398841141150e-01;5.7190591954962655e-01;3.7929721690958723e-01;6.8953864347993177e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
19;5;9;2.0617557729799921e-01;3.0478333775862365e-01;5.9517393895398185e-01;4.5619117408804338e-01;1.4373635584436986e-01;7.3395089425692883e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
20;6;7;1.5875417021688856e-01;3.4495374052188993e-01;4.3152253375196087e-01;4.5218760555362830e-01;7.6094491811947074e-01;5.2674129211444054e-01
# TraceId; FractureId1; Fracture Id2; X1; Y1; Z1; X2; Y2; Z2 
21;6;8;3.2768093767931250e-01;1.3407694410618527e+00;3.7188316486703971e-01;4.7792178843098770e-01;7.3516417215703611e-01;5.4451429376263882e-01
