# FractureId; NumTraces 
0;104
# TraceId; Tips; Length 
47;0;2.2223003148802434e-05
2;0;1.4223139790178652e-01
71;0;2.5574729700614673e-01
39;0;3.5045544289043129e-01
38;0;5.1794700562751894e-01
85;0;6.0887457538132828e-01
55;0;6.5637291351348082e-01
11;0;1.0543967187269554e+00
16;0;1.1877437886456770e+00
27;0;1.2573074235868158e+00
45;0;1.2675964910756550e+00
59;0;1.5658213761971853e+00
80;1;1.6113662064302745e-02
65;1;2.8057588084499652e-02
98;1;3.1233984706867390e-02
54;1;9.4653397226524660e-02
83;1;1.2118957541434594e-01
18;1;1.5258661790728720e-01
64;1;2.2818173330919700e-01
51;1;2.3332037191699950e-01
103;1;2.4740091819188947e-01
1;1;2.8413782406002203e-01
22;1;2.8660565618252043e-01
9;1;2.8979876005481431e-01
68;1;3.0515434604935160e-01
44;1;3.1132959821562578e-01
84;1;3.5605833886667015e-01
58;1;3.6601007362566873e-01
24;1;3.7059550273190728e-01
82;1;3.7225531952478796e-01
42;1;3.8708212255344643e-01
8;1;3.8919077175667538e-01
36;1;3.9702679114613693e-01
61;1;4.0998437109288932e-01
30;1;4.2207484386041583e-01
49;1;4.2748742503434400e-01
86;1;4.3785716107555972e-01
100;1;4.3986005572451053e-01
75;1;4.8703946461526082e-01
37;1;5.0146332472197463e-01
70;1;5.1214414844071432e-01
77;1;5.3660326774208444e-01
25;1;5.6280851666300968e-01
10;1;5.6506061597228485e-01
94;1;5.7036268629880849e-01
95;1;5.7165701727528428e-01
88;1;5.7231313420174734e-01
97;1;5.8400007024178180e-01
74;1;5.8742118275775390e-01
23;1;5.8797242327005028e-01
67;1;5.9236829241852273e-01
73;1;6.2440269392961034e-01
21;1;6.3681069709049010e-01
34;1;6.4278274934350366e-01
12;1;6.4411839276016569e-01
53;1;6.5264582661843673e-01
7;1;6.7662924087960474e-01
102;1;6.7932837886424480e-01
6;1;7.0025043418828203e-01
3;1;7.0053788257672855e-01
33;1;7.1444717045133177e-01
35;1;7.2670497326387040e-01
56;1;7.3719142837447749e-01
93;1;7.3944229813024076e-01
99;1;7.4442696429230604e-01
20;1;7.4998617321541994e-01
57;1;7.8177814865637107e-01
40;1;8.0674137030153048e-01
101;1;8.2144712543277609e-01
19;1;8.2453812957949646e-01
60;1;8.3836821017161034e-01
52;1;8.6772985587913642e-01
66;1;9.1089521302451337e-01
41;1;9.2555384907976024e-01
31;1;9.3295442822591790e-01
13;1;9.3523062659084999e-01
26;1;9.4160697381087743e-01
63;1;9.5056017430803674e-01
89;1;9.6348520633071955e-01
76;1;9.7354554802548288e-01
92;1;9.9214266685250063e-01
78;1;9.9490450290470589e-01
96;1;1.0057086767548300e+00
32;1;1.0182104483741417e+00
62;1;1.0210352890417034e+00
29;1;1.0258648892586402e+00
81;1;1.0438150462639084e+00
5;1;1.0443818549384696e+00
90;1;1.0501969126238659e+00
0;1;1.0568266756269877e+00
14;1;1.0637862673358658e+00
17;1;1.0746639694777849e+00
87;1;1.0868758427561285e+00
43;1;1.1580563480028845e+00
69;1;1.1677557263528104e+00
91;1;1.1982694076127420e+00
4;1;1.2156368155362309e+00
79;1;1.2703675524177607e+00
50;1;1.2919500325879996e+00
28;1;1.4941566411925300e+00
72;1;1.6213362331918544e+00
46;1;1.7653116289537796e+00
48;1;1.8881670863887612e+00
15;1;1.9848252443938423e+00
# FractureId; NumTraces 
1;90
# TraceId; Tips; Length 
187;1;1.5100659309365438e-02
178;1;4.1974950697425850e-02
180;1;6.4418555055856253e-02
123;1;7.3366458938404322e-02
155;1;9.1718571237007773e-02
130;1;1.6243491730726622e-01
145;1;1.8540031003503277e-01
119;1;1.9366767179411284e-01
105;1;2.2461072513805747e-01
182;1;2.7332649956688526e-01
158;1;2.7342365275827707e-01
183;1;2.8132073424989484e-01
151;1;3.0609816987636995e-01
162;1;3.1967146401565599e-01
190;1;3.4333320152373537e-01
142;1;3.6865402393973107e-01
124;1;3.7076429775735803e-01
186;1;3.7084834859138149e-01
163;1;3.9089369972460897e-01
131;1;4.2240705969455355e-01
109;1;4.2737667485416325e-01
138;1;4.4784750266416745e-01
156;1;4.5770283158424424e-01
121;1;4.6318248179006544e-01
125;1;4.6463316024579504e-01
114;1;4.8856822836542729e-01
127;1;4.8935462415051617e-01
154;1;4.9106590906192144e-01
146;1;5.2932301996355846e-01
168;1;5.6063478741167505e-01
161;1;5.9506487242416473e-01
157;1;6.0596037589886498e-01
120;1;6.1761843498668467e-01
144;1;6.2869016797011334e-01
134;1;6.3579802879007086e-01
173;1;6.4158939325975906e-01
110;1;6.6390003048191226e-01
184;1;6.8097100566939717e-01
132;1;6.9292725352807238e-01
176;1;7.7310962010048168e-01
143;1;7.8368498460180613e-01
177;1;7.9285010856721860e-01
136;1;7.9629808486412634e-01
111;1;8.2676413773647606e-01
112;1;8.2777408194896163e-01
191;1;8.7991136381211543e-01
189;1;8.9036580486296391e-01
164;1;9.0023086908245786e-01
152;1;9.2043641063234616e-01
181;1;9.2384187614991831e-01
188;1;9.8621112806940725e-01
133;1;1.0153439340838877e+00
175;1;1.0179989660562536e+00
179;1;1.0204777162125080e+00
113;1;1.0258725112644329e+00
166;1;1.0446443710444535e+00
104;1;1.0482109134001372e+00
149;1;1.0550975964471496e+00
0;1;1.0568266756269877e+00
115;1;1.0640506265032219e+00
129;1;1.0658731089824260e+00
171;1;1.0924892640966415e+00
118;1;1.0985780465172699e+00
150;1;1.0997490164577783e+00
192;1;1.1063066802052679e+00
185;1;1.1184610669363613e+00
122;1;1.1743993481363277e+00
160;1;1.2091055006770035e+00
137;1;1.2117798683186716e+00
153;1;1.2391557525892027e+00
174;1;1.2406523211202676e+00
135;1;1.2765042853017818e+00
117;1;1.3040359516066067e+00
107;1;1.3131873807046721e+00
172;1;1.3163755875802876e+00
170;1;1.3190747584443223e+00
106;1;1.4334367120917453e+00
147;1;1.5007802381185991e+00
159;1;1.5428180907267168e+00
141;1;1.6378194021799626e+00
139;1;1.6475536239287369e+00
128;1;1.7225352905658227e+00
126;1;1.7636369238636114e+00
169;1;1.7904139171698945e+00
108;1;1.7973040810964926e+00
167;1;1.8517792289238830e+00
140;1;1.9536214954449060e+00
165;1;2.1082728805240598e+00
116;1;2.1557778962335137e+00
148;1;2.2506246377077082e+00
# FractureId; NumTraces 
2;110
# TraceId; Tips; Length 
210;0;5.9841625300765727e-02
203;0;1.5034613402552660e-01
278;0;1.5210619251736446e-01
226;0;1.6757009076824028e-01
298;0;2.8703639186541119e-01
233;0;4.0617927118529235e-01
268;0;4.7546118439404988e-01
270;0;6.3646836042081700e-01
215;0;7.6543539478415012e-01
195;0;7.6807105994700442e-01
236;0;9.4070207910606163e-01
285;0;1.1574532589929580e+00
250;1;2.4868327173879174e-02
200;1;3.5786090620132105e-02
206;1;6.9450643449893157e-02
209;1;9.7524592995913761e-02
222;1;1.1181656052895639e-01
196;1;1.1382695496763101e-01
240;1;1.2232675426291356e-01
232;1;1.3349334562959869e-01
194;1;1.5950501339178569e-01
281;1;1.8535974199654892e-01
228;1;2.1093158145462032e-01
289;1;2.2218907672454274e-01
234;1;2.4034171651599873e-01
290;1;2.6421944508716666e-01
243;1;2.8176267893200313e-01
1;1;2.8413782406002203e-01
199;1;2.9479540676171745e-01
261;1;2.9720118766900178e-01
276;1;2.9814270256169401e-01
266;1;3.0959495645762664e-01
254;1;3.4487899480182155e-01
262;1;3.4762240111384474e-01
259;1;3.5850259733451917e-01
287;1;3.6028590321812004e-01
231;1;3.7068882981642104e-01
258;1;3.7705856317707875e-01
300;1;3.9254012984955589e-01
291;1;4.0255540344119789e-01
267;1;4.0661227081559193e-01
193;1;4.3362084761204051e-01
197;1;4.5311946108274315e-01
294;1;4.5572681646587909e-01
207;1;4.6294044189155109e-01
201;1;4.7959937397139607e-01
202;1;4.8667055465654513e-01
263;1;4.9199380845514029e-01
235;1;5.0045243292786279e-01
225;1;5.2513619132386613e-01
301;1;5.6778587613838050e-01
219;1;5.7135839659643639e-01
269;1;5.7955421298226539e-01
299;1;5.8155420321991769e-01
237;1;5.8715774081599248e-01
208;1;5.9156889281039682e-01
257;1;6.3529188594534314e-01
248;1;6.4272347376165151e-01
293;1;6.4793365012320214e-01
264;1;6.5503308095613022e-01
295;1;6.5825957328088913e-01
224;1;6.6855529025394800e-01
271;1;6.7019376596741209e-01
238;1;6.7311246139845138e-01
245;1;7.0607309266785789e-01
227;1;7.1488410607312702e-01
283;1;7.2254897158882614e-01
214;1;7.2280345414386804e-01
246;1;7.5038017011576197e-01
296;1;7.7312925613427730e-01
252;1;8.1711113503371346e-01
212;1;8.3254443976688808e-01
242;1;8.5087770363768989e-01
211;1;8.5440135810040518e-01
213;1;8.5736089817016337e-01
217;1;8.6397928209696606e-01
239;1;8.9168721384696115e-01
221;1;8.9679576815037443e-01
241;1;9.1590307397937365e-01
218;1;9.2597171337625472e-01
204;1;9.7877037295807412e-01
280;1;9.8256902296690596e-01
288;1;9.8440729862402754e-01
223;1;9.9652919101536197e-01
292;1;1.0086836564906621e+00
230;1;1.0254492996123059e+00
253;1;1.0703704311022464e+00
229;1;1.0777892819273129e+00
244;1;1.1024334362791151e+00
273;1;1.1147681444919213e+00
286;1;1.1154451067774416e+00
274;1;1.1198450069793817e+00
256;1;1.1425493260483011e+00
277;1;1.1948694840308161e+00
265;1;1.2092203690124923e+00
284;1;1.2223147623006132e+00
249;1;1.2763420925336724e+00
198;1;1.3052044126810958e+00
205;1;1.3055248817696203e+00
255;1;1.3195024236192343e+00
282;1;1.3229028107558805e+00
279;1;1.3439961776096305e+00
247;1;1.3605449000406309e+00
260;1;1.7036229183321618e+00
251;1;1.7454949058215239e+00
272;1;1.7995037242635756e+00
220;1;1.8031174018466269e+00
297;1;1.8785684912720391e+00
216;1;2.0072604554818785e+00
275;1;2.1070690286172473e+00
# FractureId; NumTraces 
3;139
# TraceId; Tips; Length 
344;0;4.2051082051746691e-01
400;0;4.6293919811125328e-01
426;1;5.3015366459292834e-02
403;1;7.9337118776413321e-02
387;1;8.4879043967023782e-02
397;1;9.8945135995870515e-02
310;1;1.2909393818573214e-01
376;1;1.9762432138556874e-01
363;1;2.2022925089588180e-01
430;1;2.4189792443748029e-01
326;1;3.1747774436501397e-01
345;1;3.2560941220662032e-01
383;1;3.5927078891264974e-01
371;1;3.6834019208959501e-01
412;1;3.9007954933505185e-01
407;1;3.9458778430833763e-01
335;1;3.9571189864011791e-01
424;1;4.1442136054662421e-01
193;1;4.3362084761204051e-01
413;1;4.3469760610209279e-01
420;1;4.3994833980250725e-01
340;1;4.7614296233188003e-01
417;1;4.7990439283340014e-01
308;1;4.8872964378410522e-01
349;1;4.9835235172660519e-01
399;1;5.3276112005237386e-01
381;1;5.5657883381123840e-01
365;1;5.8927787314847468e-01
316;1;6.3026986196330947e-01
322;1;6.3333895404443119e-01
404;1;6.3447478215436559e-01
350;1;6.3869070907324221e-01
414;1;6.4463186355911284e-01
358;1;6.6336127383769949e-01
324;1;6.6581277966336005e-01
418;1;6.6990889144031973e-01
320;1;6.8302768676432013e-01
385;1;6.9794371846698955e-01
390;1;7.0045309814534562e-01
303;1;7.1452955279629382e-01
339;1;7.2780946295255800e-01
398;1;7.2822367164605217e-01
318;1;7.5297145644014840e-01
361;1;7.8810503080147587e-01
394;1;8.0567473813367252e-01
410;1;8.1226362865863022e-01
422;1;8.1464613158178922e-01
355;1;8.2112182435341363e-01
392;1;8.2907426633579850e-01
432;1;8.2921389849844784e-01
433;1;8.4162055896002885e-01
386;1;8.4358958339081636e-01
369;1;8.5165143513299424e-01
342;1;8.5332741763698072e-01
373;1;8.6176108777584415e-01
395;1;8.6994551857216873e-01
438;1;8.7034522515843560e-01
437;1;8.8539507612618551e-01
368;1;8.8831352478958525e-01
435;1;9.0701241470778093e-01
384;1;9.0776790536038410e-01
377;1;9.1059644193739442e-01
307;1;9.1538753740512790e-01
378;1;9.2565892184778553e-01
401;1;9.3006477272737464e-01
304;1;9.3250447174440254e-01
389;1;9.4152623994349605e-01
434;1;9.5023974057027560e-01
352;1;9.5574756552171536e-01
312;1;9.6227361932394628e-01
409;1;9.8422784407240282e-01
391;1;9.8689901424761584e-01
338;1;1.0043769527328932e+00
333;1;1.0113680670516851e+00
309;1;1.0152527191884171e+00
382;1;1.0172988836070700e+00
332;1;1.0178053649384016e+00
415;1;1.0211770956184893e+00
334;1;1.0269212352662049e+00
353;1;1.0292548035059728e+00
380;1;1.0362169197679492e+00
329;1;1.0381920057702265e+00
104;1;1.0482109134001372e+00
405;1;1.0490361611915655e+00
341;1;1.0519404941453181e+00
311;1;1.0565194635666633e+00
370;1;1.0634659611042756e+00
348;1;1.0694077011351655e+00
331;1;1.0727544333529280e+00
388;1;1.1052520027619317e+00
375;1;1.1149394161287340e+00
346;1;1.1158753543170454e+00
313;1;1.1184488131742745e+00
330;1;1.1266818243265502e+00
431;1;1.1463685648170761e+00
366;1;1.1574589487819082e+00
302;1;1.1710678980385221e+00
416;1;1.1821556541515625e+00
379;1;1.2147467649817361e+00
356;1;1.2198134026299430e+00
343;1;1.2246511515003700e+00
357;1;1.2269100758193885e+00
306;1;1.2481671201194335e+00
393;1;1.2549791694541290e+00
429;1;1.2592838765310295e+00
362;1;1.2606436756143562e+00
402;1;1.2648162240495193e+00
374;1;1.2697976247488272e+00
325;1;1.2723800212989764e+00
427;1;1.2894788295193145e+00
423;1;1.2913067099807403e+00
436;1;1.2987205548106331e+00
406;1;1.3102069401392862e+00
408;1;1.3167848420258306e+00
411;1;1.3340406011780388e+00
336;1;1.3427077722845413e+00
321;1;1.3440738288234835e+00
396;1;1.3691917237290880e+00
328;1;1.4064166291445326e+00
337;1;1.4095604822419836e+00
425;1;1.4445281630634841e+00
354;1;1.4475912325519351e+00
359;1;1.4530875595509893e+00
367;1;1.4547439441217882e+00
351;1;1.4618191308470796e+00
305;1;1.4625299541815138e+00
360;1;1.4658460364097503e+00
419;1;1.4877632304732484e+00
323;1;1.5043171686224797e+00
372;1;1.5480371171625655e+00
314;1;1.5531789843770523e+00
319;1;1.5840696611821343e+00
364;1;1.6419246909775651e+00
317;1;1.6441280368894768e+00
327;1;1.6845107593730133e+00
347;1;1.7257318302674294e+00
421;1;1.7733892274548306e+00
428;1;1.8136671828366313e+00
315;1;1.8464810784767931e+00
# FractureId; NumTraces 
4;88
# TraceId; Tips; Length 
484;0;4.3166769811570409e-02
511;0;5.8345341336673441e-02
513;0;8.0115875386839314e-02
443;0;8.1852733938543087e-02
451;0;2.0778438061097221e-01
491;0;3.0104869377247845e-01
459;0;3.2874358718632624e-01
465;0;3.8028798118320617e-01
441;0;3.9109324153855074e-01
485;0;5.4351622304746705e-01
492;0;5.7909496348874834e-01
501;0;5.8090233705272953e-01
488;0;6.4079681928307575e-01
519;0;7.4932708609307830e-01
505;0;9.3502300370948321e-01
504;0;9.3987088775369276e-01
498;0;9.5001970483534559e-01
448;0;9.5202169070475895e-01
475;0;9.6588547368459865e-01
514;0;9.9217170450922709e-01
520;0;1.0100641843536753e+00
483;0;1.0591349497118883e+00
499;0;1.0875730958286585e+00
474;0;1.1397115755624276e+00
302;0;1.1710678980385221e+00
469;1;5.2362683972368207e-02
463;1;1.4904904138333730e-01
506;1;1.5369878590797492e-01
460;1;1.5967862675993816e-01
450;1;1.8541021046558612e-01
489;1;1.9564755933492017e-01
105;1;2.2461072513805747e-01
516;1;2.4992663026500431e-01
476;1;2.5158435761347298e-01
503;1;2.5494039828009574e-01
477;1;3.0234541508395385e-01
458;1;3.0614860368801045e-01
442;1;3.2998218734134660e-01
490;1;3.3223086893479042e-01
512;1;3.3442888541881094e-01
479;1;3.3607784726044998e-01
454;1;3.4646868720153534e-01
455;1;3.6444482433700642e-01
466;1;3.8601135025971889e-01
464;1;3.9432248237079776e-01
500;1;4.2597857944590461e-01
447;1;4.3980656625005854e-01
508;1;4.4651402359653730e-01
453;1;4.4673893249928576e-01
445;1;4.7933410135481663e-01
470;1;4.9766320941013104e-01
502;1;5.0721970037796404e-01
462;1;5.2550445470023066e-01
439;1;5.4023254329172887e-01
449;1;5.5134232110314918e-01
509;1;5.7112710742273054e-01
478;1;5.7576596368994504e-01
467;1;5.7916638132730625e-01
510;1;6.0913028647169676e-01
495;1;6.6271162849322363e-01
461;1;6.7149762692945214e-01
472;1;7.0153013024343136e-01
452;1;7.2260250622665145e-01
468;1;7.2827852505308821e-01
497;1;7.4091848228543022e-01
456;1;7.4903206302118541e-01
524;1;7.7120202235938484e-01
481;1;7.9422578232382590e-01
486;1;7.9649431135588511e-01
446;1;8.0768272013604192e-01
507;1;8.0900985687132831e-01
457;1;8.1923996168794289e-01
518;1;8.4130523245732336e-01
473;1;8.5739324090024283e-01
440;1;8.6158467021446516e-01
522;1;8.8227912099802919e-01
482;1;8.8885841346891026e-01
494;1;9.0039625893375763e-01
487;1;9.0853539016916562e-01
523;1;9.2469610589757512e-01
480;1;9.2656262435966585e-01
517;1;9.7149500131612843e-01
521;1;9.9107857459850113e-01
493;1;1.0395269245706871e+00
496;1;1.2143520710473386e+00
444;1;1.2690795003744157e+00
515;1;1.2723392704653054e+00
471;1;1.5243595114566055e+00
# FractureId; NumTraces 
5;69
# TraceId; Tips; Length 
568;0;1.5199984756820251e-01
588;0;3.4745106438826900e-01
540;0;3.7176202079409326e-01
533;0;8.3508950759384193e-01
585;0;8.7406594320956899e-01
527;0;1.0745904169781075e+00
593;0;1.1098406094314548e+00
590;1;1.5341024937861325e-03
529;1;3.6724762673590122e-02
528;1;4.2864007113096528e-02
566;1;6.4245403993303835e-02
530;1;9.4209733100962881e-02
564;1;1.0699000130866895e-01
542;1;1.1825242722773398e-01
553;1;1.9529203093104525e-01
532;1;2.2543621623807841e-01
531;1;2.3006711246103109e-01
547;1;2.4433491436240001e-01
567;1;2.6690045548339536e-01
589;1;2.8779896443684594e-01
536;1;2.9590743489486515e-01
570;1;3.3547019614101198e-01
563;1;3.7974289174318215e-01
586;1;3.8014735919698600e-01
557;1;3.8865832897505875e-01
562;1;4.0961323822591567e-01
541;1;4.4205761792851145e-01
550;1;4.6569124196579309e-01
578;1;4.9071359775536083e-01
572;1;4.9316720113983614e-01
584;1;4.9575825414446700e-01
565;1;5.0003963557267761e-01
580;1;5.0010846778506335e-01
526;1;5.1346369341850595e-01
546;1;5.7765021720825316e-01
591;1;5.7980070737406497e-01
535;1;5.9975349988150439e-01
538;1;6.0826326682641252e-01
555;1;6.2915936376323467e-01
537;1;6.3209512618675257e-01
574;1;6.3226763014244036e-01
525;1;6.3951657075360691e-01
581;1;6.4525220757196999e-01
561;1;6.5932747894155552e-01
577;1;6.5987562209223605e-01
556;1;6.9368233253144440e-01
573;1;7.4009467580139343e-01
534;1;7.5029865234750215e-01
544;1;7.8344222663550744e-01
569;1;8.4601338242024604e-01
558;1;8.6598454350918064e-01
548;1;8.6775081923165953e-01
559;1;8.8229159859105122e-01
551;1;9.3011001822972050e-01
582;1;9.7514919447976678e-01
575;1;9.7981246527636845e-01
583;1;9.7984043025755230e-01
587;1;9.8450550599465703e-01
576;1;1.0125636047131785e+00
554;1;1.0332333140855876e+00
539;1;1.0590773650042484e+00
571;1;1.0634407388594629e+00
552;1;1.0897299799329074e+00
560;1;1.1185907007283538e+00
545;1;1.1317224715522864e+00
549;1;1.1987948793126051e+00
543;1;1.2422058375338265e+00
579;1;1.2595540912474668e+00
592;1;1.8307075098136707e+00
# FractureId; NumTraces 
6;72
# TraceId; Tips; Length 
602;0;6.4416632314246713e-03
649;0;4.1780496324262562e-02
639;0;3.8196001402611562e-01
599;0;4.2079513618432879e-01
636;0;5.0738271930239986e-01
614;0;5.6252542860428412e-01
525;0;6.3951657075360691e-01
630;0;6.5342670369040445e-01
663;0;6.8337339962523624e-01
618;0;8.5486906269197360e-01
612;0;8.8742972321260094e-01
650;0;9.2620224511127136e-01
616;0;1.1644958260084510e+00
605;0;1.2232702196474212e+00
594;1;1.3234800238667577e-03
664;1;2.4148726555993372e-02
661;1;6.9077058849914552e-02
619;1;8.3589381402216167e-02
622;1;1.2088377460609556e-01
653;1;1.3646609402868951e-01
638;1;1.4101810056097436e-01
596;1;1.4670355779964167e-01
662;1;1.4890406956479169e-01
654;1;1.5258118587997213e-01
617;1;1.6944987724830132e-01
627;1;1.7863889792134563e-01
634;1;1.8826193898850843e-01
658;1;2.1410766686315214e-01
644;1;2.2655505005772164e-01
657;1;2.2859275088973052e-01
624;1;2.4166155084384022e-01
604;1;2.4192148606413399e-01
597;1;2.7786169349654233e-01
632;1;2.7850187018561645e-01
651;1;2.8375747020172709e-01
613;1;2.9855348377600677e-01
628;1;3.0730550169110316e-01
631;1;3.1022018767424464e-01
637;1;3.1283605221231070e-01
640;1;3.1917721360322482e-01
641;1;3.6632281389536192e-01
601;1;3.7541459140738803e-01
615;1;4.0737824018011748e-01
626;1;4.0745045350091447e-01
655;1;4.3838382907464896e-01
659;1;4.4865179352859302e-01
647;1;4.4983574568663720e-01
598;1;4.5734786528947824e-01
623;1;4.9705875200306449e-01
603;1;5.2226537721785116e-01
642;1;5.3906298495236005e-01
648;1;5.4122721720765143e-01
606;1;5.6221924812614565e-01
635;1;5.7261608233597716e-01
600;1;5.7920414479065285e-01
652;1;5.8025431874557376e-01
629;1;6.0864120272218092e-01
625;1;6.1098485449763429e-01
656;1;6.1482672366498581e-01
610;1;6.1931650020416007e-01
595;1;6.2600918136079664e-01
620;1;7.5692092775963182e-01
646;1;7.6195533064466514e-01
607;1;8.1037199355625589e-01
643;1;8.3063882174825843e-01
609;1;8.3340739005146769e-01
621;1;9.6147324389767852e-01
645;1;1.0105091980813383e+00
608;1;1.0249653759673509e+00
633;1;1.0833127368055269e+00
611;1;1.2959863243872394e+00
660;1;1.4344970495549312e+00
# FractureId; NumTraces 
7;90
# TraceId; Tips; Length 
694;0;5.7382683084055322e-02
706;1;1.5847805483568678e-03
722;1;5.5878142006875881e-03
708;1;8.7822968155579773e-03
741;1;1.5455223763939097e-02
669;1;3.4156434317735539e-02
735;1;5.4634993913116242e-02
721;1;5.6266962800835013e-02
739;1;6.0630637758348732e-02
745;1;6.9620550401185588e-02
701;1;7.1588225333505701e-02
732;1;1.3513760202089753e-01
2;1;1.4223139790178652e-01
734;1;1.5460603809144691e-01
194;1;1.5950501339178569e-01
726;1;1.6335031903445144e-01
674;1;1.8062263869944162e-01
720;1;1.8153352199418193e-01
702;1;1.9540240881780507e-01
717;1;2.1638286351060973e-01
680;1;2.3641597716970209e-01
677;1;2.3934558794054195e-01
738;1;2.4257941048211071e-01
711;1;2.7858324575608184e-01
716;1;2.8100230684046046e-01
670;1;3.0931771366837102e-01
703;1;3.1807134724881175e-01
707;1;3.4807288468979070e-01
748;1;3.4957181798438464e-01
679;1;3.8426192054577890e-01
668;1;3.8654060591207939e-01
667;1;4.0940245936832270e-01
725;1;4.1789712235108989e-01
681;1;4.2534944326192381e-01
746;1;4.2634157101415793e-01
689;1;4.3457915094637684e-01
744;1;4.4967678688654733e-01
687;1;4.5370115559911761e-01
672;1;4.5945520846763199e-01
709;1;4.8739793026304989e-01
715;1;4.9187692270239541e-01
692;1;5.0213259516524300e-01
714;1;5.1175000668652448e-01
733;1;5.3660029984395829e-01
731;1;5.9739650075980666e-01
696;1;6.0735641466115298e-01
736;1;6.5485495922072978e-01
691;1;6.5818894887687407e-01
678;1;6.8587155529475252e-01
684;1;7.0305739953212643e-01
303;1;7.1452955279629382e-01
710;1;7.4264455002991081e-01
665;1;7.7636925025186554e-01
688;1;7.9240473448875326e-01
676;1;8.6390528259814914e-01
675;1;8.7667863252765255e-01
698;1;8.8213965358172008e-01
699;1;8.8912511237254366e-01
729;1;8.9614958096979402e-01
728;1;9.1130769997610050e-01
671;1;9.5071223995987286e-01
666;1;9.5588120983639790e-01
719;1;9.7973215202903718e-01
742;1;9.8250445082768434e-01
682;1;1.0707362350313614e+00
690;1;1.0720618564970514e+00
727;1;1.0814861497316739e+00
737;1;1.0823665833890339e+00
693;1;1.0836221823448084e+00
695;1;1.0990710875208047e+00
673;1;1.1073894388989773e+00
730;1;1.1156456410084514e+00
749;1;1.1240614038341068e+00
740;1;1.1484509306479804e+00
750;1;1.1673320755788732e+00
743;1;1.1767561993245932e+00
697;1;1.1839372495923426e+00
747;1;1.1909604777781855e+00
705;1;1.2647808569472163e+00
713;1;1.2682845106576730e+00
683;1;1.3182139190648763e+00
704;1;1.3309830365157453e+00
700;1;1.3329550710839020e+00
106;1;1.4334367120917453e+00
718;1;1.6334872139624323e+00
723;1;1.8231617934222468e+00
686;1;1.8373473009867203e+00
712;1;1.9268273477166773e+00
685;1;2.2002929260884727e+00
724;1;2.2619521201841892e+00
# FractureId; NumTraces 
8;39
# TraceId; Tips; Length 
762;0;6.3240755388804293e-01
665;0;7.7636925025186554e-01
756;0;8.1814710261356893e-01
782;0;1.2489594199122731e+00
784;0;1.2993556712727270e+00
752;1;8.7169488495016295e-02
769;1;2.0167379833404611e-01
776;1;2.2063193964830966e-01
774;1;2.2159861006972387e-01
779;1;2.3041770642305676e-01
783;1;2.5541098638736692e-01
781;1;2.5825077001742164e-01
778;1;3.4029973294815885e-01
759;1;3.5546746161633430e-01
758;1;3.5861552618135883e-01
777;1;3.9914313841648807e-01
780;1;4.2399469325276373e-01
766;1;5.9580474197394695e-01
775;1;6.8514535932481291e-01
3;1;7.0053788257672855e-01
771;1;8.0874737449405587e-01
751;1;8.3779018570970432e-01
755;1;8.6264642639178113e-01
304;1;9.3250447174440254e-01
757;1;9.4881361094830130e-01
754;1;1.0010586599150659e+00
770;1;1.0038410504528248e+00
785;1;1.0247439788792270e+00
773;1;1.0751246902442904e+00
761;1;1.1333248011845711e+00
765;1;1.1706745084539325e+00
767;1;1.2239896520173505e+00
107;1;1.3131873807046721e+00
772;1;1.3266208372310389e+00
753;1;1.4009155323589315e+00
763;1;1.4334503552728295e+00
760;1;1.4897172175541735e+00
768;1;1.5859658419244140e+00
764;1;1.6994376663359234e+00
# FractureId; NumTraces 
9;93
# TraceId; Tips; Length 
826;0;1.1868130414519290e-01
873;0;9.3920539835603090e-01
666;0;9.5588120983639790e-01
801;1;2.5383762252705888e-03
862;1;3.9922587527359776e-02
806;1;7.4172379400414767e-02
845;1;1.4157964975772652e-01
861;1;1.5033190771621868e-01
808;1;1.5328547661683689e-01
859;1;1.8309271251712061e-01
870;1;1.8328145020193098e-01
820;1;1.9706627904185353e-01
830;1;2.1225845098795026e-01
857;1;2.1725474889431487e-01
838;1;2.3907319505160141e-01
810;1;2.4237645695278551e-01
786;1;3.7198445879330544e-01
807;1;4.2182440350051587e-01
816;1;4.3354422204908183e-01
812;1;4.6929168913336927e-01
821;1;4.9902871260799209e-01
815;1;5.0399162743203196e-01
869;1;5.1979939552168841e-01
837;1;5.5812730248452458e-01
833;1;5.7093011625958068e-01
865;1;6.2418431647902284e-01
864;1;6.4684847163948656e-01
863;1;6.6110596589521253e-01
840;1;6.6874624424568019e-01
818;1;6.7097967436516215e-01
874;1;7.0838158112385896e-01
855;1;7.1618129001112807e-01
854;1;7.1628141622260144e-01
834;1;7.3299794362767123e-01
856;1;7.4258623060074469e-01
852;1;7.4442089680139811e-01
839;1;7.4629819859566404e-01
804;1;7.6534339373777804e-01
828;1;7.6885985480872432e-01
811;1;7.8400477121458212e-01
814;1;7.8914804306634234e-01
